geosumlev,geoid,stco,place,mdy,totpop,hhpop,gqpop,tothu,husfd,husfa,humf24,humf5p,humh,occhu,vacrate,pph
157,15700US0600106000,Alameda ,Berkeley,1/1/2012,"115,622","102,286","13,336","49,774","20,929","2,060","9,993","16,574",218,"46,320",6.9%,2.21
157,15700US0600106000,Alameda ,Berkeley,1/1/2013,"116,569","103,055","13,514","49,784","20,930","2,060","10,002","16,574",218,"46,309",7.0%,2.23
157,15700US0600106000,Alameda ,Berkeley,1/1/2014,"117,869","104,070","13,799","49,869","20,937","2,061","10,002","16,651",218,"46,383",7.0%,2.24
157,15700US0600106000,Alameda ,Berkeley,1/1/2015,"119,427","105,513","13,914","50,036","20,952","2,065","10,011","16,790",218,"46,537",7.0%,2.27
157,15700US0600106000,Alameda ,Berkeley,1/1/2016,"120,260","106,344","13,916","50,180","20,955","2,066","10,013","16,928",218,"46,659",7.0%,2.28
157,15700US0600106000,Alameda ,Berkeley,1/1/2017,"121,210","107,033","14,177","50,419","20,962","2,075","10,015","17,149",218,"46,877",7.0%,2.28
157,15700US0600106000,Alameda ,Berkeley,1/1/2018,"121,763","107,523","14,240","50,953","20,997","2,083","10,022","17,633",218,"47,364",7.0%,2.27
157,15700US0600106000,Alameda ,Berkeley,1/1/2019,"122,297","107,611","14,686","51,179","21,042","2,095","10,031","17,793",218,"47,569",7.1%,2.26
157,15700US0600106000,Alameda ,Berkeley,1/1/2020,"122,364","107,678","14,686","51,523","21,106","2,096","10,075","18,028",218,"47,886",7.1%,2.25
157,15700US0600106000,Alameda ,Berkeley,1/1/2021,"116,761","107,604","9,157","51,845","21,156","2,096","10,097","18,278",218,"48,185",7.1%,2.23
157,15700US0600120018,Alameda,Dublin,4/1/2010,"46,036","40,262","5,774","15,782","8,585","1,898",479,"4,766",54,"14,913",5.5%,2.70
157,15700US0600120018,Alameda ,Dublin,1/1/2011,"46,412","41,299","5,113","16,064","8,773","1,898",511,"4,828",54,"15,177",5.5%,2.72
157,15700US0600120018,Alameda ,Dublin,1/1/2012,"47,081","42,679","4,402","16,431","8,966","1,960",528,"4,923",54,"15,511",5.6%,2.75
157,15700US0600120018,Alameda ,Dublin,1/1/2013,"50,090","45,699","4,391","17,516","9,472","2,070",596,"5,324",54,"16,478",5.9%,2.77
157,15700US0600120018,Alameda ,Dublin,1/1/2014,"53,472","48,937","4,535","18,640","10,124","2,116",604,"5,742",54,"17,514",6.0%,2.79
157,15700US0600120018,Alameda ,Dublin,1/1/2015,"55,970","51,910","4,060","19,551","10,613","2,285",604,"5,995",54,"18,366",6.1%,2.83
157,15700US0600120018,Alameda ,Dublin,1/1/2016,"57,124","53,521","3,603","20,095","10,939","2,503",604,"5,995",54,"18,838",6.3%,2.84
157,15700US0600120018,Alameda ,Dublin,1/1/2017,"59,217","55,804","3,413","20,931","11,276","2,750",604,"6,247",54,"19,608",6.3%,2.85
157,15700US0600120018,Alameda ,Dublin,1/1/2018,"61,488","57,998","3,490","21,937","11,725","2,908",624,"6,626",54,"20,518",6.5%,2.83
157,15700US0600120018,Alameda ,Dublin,1/1/2019,"63,890","60,404","3,486","22,950","12,304","3,187",685,"6,720",54,"21,446",6.6%,2.82
157,15700US0600120018,Alameda ,Dublin,1/1/2020,"65,161","61,342","3,819","23,567","12,644","3,334",757,"6,778",54,"22,014",6.6%,2.79
157,15700US0600120018,Alameda ,Dublin,1/1/2021,"64,695","61,790","2,905","23,891","12,806","3,384",773,"6,874",54,"22,313",6.6%,2.77
157,15700US0600122594,Alameda,Emeryville,4/1/2010,"10,080","10,007",73,"6,646",420,401,751,"5,038",36,"5,694",14.3%,1.76
157,15700US0600122594,Alameda ,Emeryville,1/1/2011,"10,176","10,103",73,"6,646",420,401,751,"5,038",36,"5,702",14.2%,1.77
157,15700US0600122594,Alameda ,Emeryville,1/1/2012,"10,354","10,281",73,"6,652",421,401,751,"5,043",36,"5,740",13.7%,1.79
157,15700US0600122594,Alameda ,Emeryville,1/1/2013,"10,675","10,602",73,"6,652",421,401,751,"5,043",36,"5,873",11.7%,1.81
157,15700US0600122594,Alameda ,Emeryville,1/1/2014,"10,926","10,853",73,"6,719",421,401,753,"5,108",36,"5,963",11.3%,1.82
157,15700US0600122594,Alameda ,Emeryville,1/1/2015,"11,057","10,984",73,"6,719",421,401,753,"5,108",36,"5,972",11.1%,1.84
157,15700US0600122594,Alameda ,Emeryville,1/1/2016,"11,939","11,866",73,"7,125",420,401,753,"5,515",36,"6,418",9.9%,1.85
157,15700US0600122594,Alameda ,Emeryville,1/1/2017,"12,087","12,014",73,"7,169",419,401,753,"5,560",36,"6,486",9.5%,1.85
157,15700US0600122594,Alameda ,Emeryville,1/1/2018,"12,142","12,069",73,"7,170",418,401,755,"5,560",36,"6,553",8.6%,1.84
157,15700US0600122594,Alameda ,Emeryville,1/1/2019,"12,177","12,104",73,"7,176",418,401,755,"5,566",36,"6,595",8.1%,1.84
157,15700US0600122594,Alameda ,Emeryville,1/1/2020,"12,448","12,375",73,"7,364",418,401,756,"5,753",36,"6,784",7.9%,1.82
157,15700US0600122594,Alameda ,Emeryville,1/1/2021,"12,586","12,513",73,"7,498",419,401,756,"5,886",36,"6,907",7.9%,1.81
157,15700US0600126000,Alameda,Fremont,4/1/2010,"214,089","212,438","1,651","73,989","43,301","9,933","2,429","17,600",726,"71,004",4.0%,2.99
157,15700US0600126000,Alameda ,Fremont,1/1/2011,"216,519","214,868","1,651","74,220","43,500","9,935","2,435","17,624",726,"71,232",4.0%,3.02
157,15700US0600126000,Alameda ,Fremont,1/1/2012,"219,537","217,886","1,651","74,425","43,545","9,939","2,435","17,780",726,"71,455",4.0%,3.05
157,15700US0600126000,Alameda ,Fremont,1/1/2013,"222,310","220,659","1,651","74,679","43,617","9,939","2,435","17,962",726,"71,807",3.8%,3.07
157,15700US0600126000,Alameda ,Fremont,1/1/2014,"225,712","224,061","1,651","75,186","43,724","9,998","2,435","18,303",726,"72,319",3.8%,3.10
157,15700US0600126000,Alameda ,Fremont,1/1/2015,"228,474","226,823","1,651","75,313","43,820","10,029","2,435","18,303",726,"72,449",3.8%,3.13
157,15700US0600126000,Alameda ,Fremont,1/1/2016,"230,089","228,438","1,651","75,386","43,874","10,044","2,439","18,303",726,"72,584",3.7%,3.15
157,15700US0600126000,Alameda ,Fremont,1/1/2017,"231,713","230,062","1,651","75,763","44,154","10,050","2,461","18,372",726,"72,969",3.7%,3.15
157,15700US0600126000,Alameda ,Fremont,1/1/2018,"232,107","230,456","1,651","76,279","44,455","10,066","2,484","18,548",726,"73,517",3.6%,3.14
157,15700US0600126000,Alameda ,Fremont,1/1/2019,"232,601","230,950","1,651","76,681","44,624","10,183","2,500","18,648",726,"73,932",3.6%,3.12
157,15700US0600126000,Alameda ,Fremont,1/1/2020,"233,132","231,481","1,651","77,309","44,700","10,192","2,584","19,107",726,"74,550",3.6%,3.11
157,15700US0600126000,Alameda ,Fremont,1/1/2021,"234,239","232,588","1,651","78,218","44,774","10,215","2,691","19,812",726,"75,427",3.6%,3.08
157,15700US0600133000,Alameda,Hayward,4/1/2010,"144,186","141,462","2,724","48,296","25,217","4,106","2,934","13,717","2,322","45,365",6.1%,3.12
157,15700US0600133000,Alameda ,Hayward,1/1/2011,"145,888","142,996","2,892","48,406","25,270","4,151","2,934","13,729","2,322","45,484",6.0%,3.14
157,15700US0600133000,Alameda ,Hayward,1/1/2012,"148,530","145,552","2,978","48,671","25,329","4,356","2,935","13,729","2,322","45,799",5.9%,3.18
157,15700US0600133000,Alameda ,Hayward,1/1/2013,"151,183","148,234","2,949","48,900","25,371","4,543","2,935","13,729","2,322","46,284",5.3%,3.20
157,15700US0600133000,Alameda ,Hayward,1/1/2014,"153,185","150,080","3,105","49,040","25,421","4,633","2,935","13,729","2,322","46,478",5.2%,3.23
157,15700US0600133000,Alameda ,Hayward,1/1/2015,"155,345","152,165","3,180","49,184","25,467","4,731","2,935","13,729","2,322","46,634",5.2%,3.26
157,15700US0600133000,Alameda ,Hayward,1/1/2016,"157,121","153,828","3,293","49,292","25,551","4,755","2,935","13,729","2,322","46,898",4.9%,3.28
157,15700US0600133000,Alameda ,Hayward,1/1/2017,"158,799","155,449","3,350","49,665","25,695","4,833","2,935","13,880","2,322","47,307",4.7%,3.29
157,15700US0600133000,Alameda ,Hayward,1/1/2018,"158,896","155,742","3,154","49,913","25,898","4,878","2,935","13,880","2,322","47,670",4.5%,3.27
157,15700US0600133000,Alameda ,Hayward,1/1/2019,"159,272","155,958","3,314","50,084","26,006","4,941","2,935","13,880","2,322","47,903",4.4%,3.26
157,15700US0600133000,Alameda ,Hayward,1/1/2020,"159,266","156,084","3,182","50,396","26,169","5,088","2,937","13,880","2,322","48,231",4.3%,3.24
157,15700US0600133000,Alameda ,Hayward,1/1/2021,"158,089","156,164","1,925","50,772","26,315","5,316","2,939","13,880","2,322","48,591",4.3%,3.21
157,15700US0600141992,Alameda,Livermore,4/1/2010,"80,968","80,458",510,"30,342","21,490","2,555","1,466","4,291",540,"29,134",4.0%,2.76
157,15700US0600141992,Alameda ,Livermore,1/1/2011,"81,975","81,465",510,"30,469","21,551","2,555","1,478","4,345",540,"29,259",4.0%,2.78
157,15700US0600141992,Alameda ,Livermore,1/1/2012,"83,102","82,592",510,"30,545","21,610","2,555","1,495","4,345",540,"29,345",3.9%,2.82
157,15700US0600141992,Alameda ,Livermore,1/1/2013,"84,254","83,744",510,"30,679","21,682","2,555","1,523","4,379",540,"29,525",3.8%,2.84
157,15700US0600141992,Alameda ,Livermore,1/1/2014,"85,541","85,031",510,"30,884","21,777","2,555","1,563","4,449",540,"29,734",3.7%,2.86
157,15700US0600141992,Alameda ,Livermore,1/1/2015,"86,885","86,375",510,"31,042","21,860","2,555","1,563","4,524",540,"29,890",3.7%,2.89
157,15700US0600141992,Alameda ,Livermore,1/1/2016,"88,635","88,125",510,"31,473","22,146","2,555","1,583","4,649",540,"30,336",3.6%,2.91
157,15700US0600141992,Alameda ,Livermore,1/1/2017,"89,877","89,367",510,"31,848","22,295","2,583","1,591","4,837",542,"30,708",3.6%,2.91
157,15700US0600141992,Alameda ,Livermore,1/1/2018,"90,392","89,882",510,"32,191","22,324","2,897","1,591","4,837",542,"31,064",3.5%,2.89
157,15700US0600141992,Alameda ,Livermore,1/1/2019,"90,769","90,259",510,"32,425","22,450","3,002","1,594","4,837",542,"31,304",3.5%,2.88
157,15700US0600141992,Alameda ,Livermore,1/1/2020,"91,082","90,572",510,"32,728","22,519","3,154","1,604","4,909",542,"31,602",3.4%,2.87
157,15700US0600141992,Alameda ,Livermore,1/1/2021,"91,216","90,706",510,"33,004","22,558","3,170","1,620","5,114",542,"31,869",3.4%,2.85
157,15700US0600150916,Alameda,Newark,4/1/2010,"42,573","42,428",145,"13,414","9,522","1,342",569,"1,981",0,"12,972",3.3%,3.27
157,15700US0600150916,Alameda ,Newark,1/1/2011,"42,916","42,771",145,"13,414","9,522","1,342",569,"1,981",0,"12,970",3.3%,3.30
157,15700US0600150916,Alameda ,Newark,1/1/2012,"43,360","43,215",145,"13,414","9,522","1,342",569,"1,981",0,"12,964",3.4%,3.33
157,15700US0600150916,Alameda ,Newark,1/1/2013,"43,617","43,472",145,"13,416","9,522","1,342",571,"1,981",0,"12,941",3.5%,3.36
157,15700US0600150916,Alameda ,Newark,1/1/2014,"43,965","43,820",145,"13,419","9,523","1,342",573,"1,981",0,"12,938",3.6%,3.39
157,15700US0600150916,Alameda ,Newark,1/1/2015,"44,426","44,281",145,"13,421","9,523","1,342",575,"1,981",0,"12,938",3.6%,3.42
157,15700US0600150916,Alameda ,Newark,1/1/2016,"44,769","44,624",145,"13,470","9,567","1,342",580,"1,981",0,"12,970",3.7%,3.44
157,15700US0600150916,Alameda ,Newark,1/1/2017,"45,286","45,141",145,"13,607","9,665","1,381",580,"1,981",0,"13,097",3.7%,3.45
157,15700US0600150916,Alameda ,Newark,1/1/2018,"46,765","46,620",145,"14,147","9,883","1,381",628,"2,255",0,"13,604",3.8%,3.43
157,15700US0600150916,Alameda ,Newark,1/1/2019,"48,079","47,934",145,"14,604","10,107","1,381",657,"2,459",0,"14,036",3.9%,3.42
157,15700US0600150916,Alameda ,Newark,1/1/2020,"48,603","48,458",145,"14,917","10,385","1,414",659,"2,459",0,"14,334",3.9%,3.38
157,15700US0600150916,Alameda ,Newark,1/1/2021,"48,859","48,714",145,"15,100","10,560","1,414",659,"2,467",0,"14,510",3.9%,3.36
157,15700US0600153000,Alameda,Oakland,4/1/2010,"390,724","382,586","8,138","169,710","73,904","6,842","32,600","55,809",555,"153,791",9.4%,2.49
157,15700US0600153000,Alameda ,Oakland,1/1/2011,"394,611","386,490","8,121","169,922","73,991","6,842","32,602","55,932",555,"154,097",9.3%,2.51
157,15700US0600153000,Alameda ,Oakland,1/1/2012,"399,930","392,145","7,785","170,037","74,080","6,847","32,609","55,946",555,"154,669",9.0%,2.54
157,15700US0600153000,Alameda ,Oakland,1/1/2013,"409,180","401,404","7,776","170,618","74,084","6,884","32,625","56,470",555,"157,101",7.9%,2.56
157,15700US0600153000,Alameda ,Oakland,1/1/2014,"414,065","406,305","7,760","170,822","74,105","6,908","32,627","56,627",555,"157,722",7.7%,2.58
157,15700US0600153000,Alameda ,Oakland,1/1/2015,"419,490","411,688","7,802","171,138","74,129","6,921","32,635","56,898",555,"158,148",7.6%,2.60
157,15700US0600153000,Alameda ,Oakland,1/1/2016,"424,717","416,950","7,767","171,192","74,169","6,921","32,650","56,897",555,"159,333",6.9%,2.62
157,15700US0600153000,Alameda ,Oakland,1/1/2017,"427,493","419,778","7,715","171,636","74,232","6,931","32,669","57,249",555,"160,126",6.7%,2.62
157,15700US0600153000,Alameda ,Oakland,1/1/2018,"428,750","420,976","7,774","172,170","74,315","6,941","32,661","57,698",555,"161,512",6.2%,2.61
157,15700US0600153000,Alameda ,Oakland,1/1/2019,"429,932","422,164","7,768","172,740","74,396","7,007","32,700","58,082",555,"162,535",5.9%,2.60
157,15700US0600153000,Alameda ,Oakland,1/1/2020,"432,327","424,990","7,337","175,457","74,468","7,007","32,844","60,583",555,"165,092",5.9%,2.57
157,15700US0600153000,Alameda ,Oakland,1/1/2021,"435,514","428,177","7,337","178,207","74,459","7,011","33,023","63,158",556,"167,680",5.9%,2.55
157,15700US0600156938,Alameda,Piedmont,4/1/2010,"10,667","10,664",3,"3,924","3,710",48,87,79,0,"3,801",3.1%,2.81
157,15700US0600156938,Alameda ,Piedmont,1/1/2011,"10,766","10,763",3,"3,928","3,712",48,89,79,0,"3,805",3.1%,2.83
157,15700US0600156938,Alameda ,Piedmont,1/1/2012,"10,899","10,896",3,"3,932","3,714",48,91,79,0,"3,811",3.1%,2.86
157,15700US0600156938,Alameda ,Piedmont,1/1/2013,"11,014","11,011",3,"3,935","3,717",48,91,79,0,"3,822",2.9%,2.88
157,15700US0600156938,Alameda ,Piedmont,1/1/2014,"11,116","11,113",3,"3,937","3,715",48,95,79,0,"3,826",2.8%,2.91
157,15700US0600156938,Alameda ,Piedmont,1/1/2015,"11,243","11,240",3,"3,940","3,718",48,95,79,0,"3,829",2.8%,2.94
157,15700US0600156938,Alameda ,Piedmont,1/1/2016,"11,324","11,321",3,"3,943","3,721",48,95,79,0,"3,837",2.7%,2.95
157,15700US0600156938,Alameda ,Piedmont,1/1/2017,"11,354","11,351",3,"3,945","3,721",50,95,79,0,"3,840",2.7%,2.96
157,15700US0600156938,Alameda ,Piedmont,1/1/2018,"11,311","11,308",3,"3,949","3,721",54,95,79,0,"3,847",2.6%,2.94
157,15700US0600156938,Alameda ,Piedmont,1/1/2019,"11,325","11,322",3,"3,966","3,723",69,95,79,0,"3,866",2.5%,2.93
157,15700US0600156938,Alameda ,Piedmont,1/1/2020,"11,297","11,294",3,"3,979","3,714",69,117,79,0,"3,880",2.5%,2.91
157,15700US0600156938,Alameda ,Piedmont,1/1/2021,"11,296","11,293",3,"4,006","3,729",69,129,79,0,"3,906",2.5%,2.89
157,15700US0600157792,Alameda,Pleasanton,4/1/2010,"70,285","69,829",456,"26,053","16,736","2,615","1,599","4,723",380,"25,245",3.1%,2.77
157,15700US0600157792,Alameda ,Pleasanton,1/1/2011,"70,879","70,423",456,"26,069","16,750","2,615","1,601","4,723",380,"25,253",3.1%,2.79
157,15700US0600157792,Alameda ,Pleasanton,1/1/2012,"71,731","71,275",456,"26,132","16,787","2,615","1,612","4,738",380,"25,283",3.2%,2.82
157,15700US0600157792,Alameda ,Pleasanton,1/1/2013,"72,048","71,592",456,"26,174","16,829","2,615","1,612","4,738",380,"25,200",3.7%,2.84
157,15700US0600157792,Alameda ,Pleasanton,1/1/2014,"72,917","72,461",456,"26,305","16,900","2,677","1,610","4,738",380,"25,298",3.8%,2.86
157,15700US0600157792,Alameda ,Pleasanton,1/1/2015,"74,842","74,386",456,"26,732","16,951","2,678","1,616","5,107",380,"25,700",3.9%,2.89
157,15700US0600157792,Alameda ,Pleasanton,1/1/2016,"75,813","75,249",564,"26,980","17,031","2,678","1,616","5,275",380,"25,862",4.1%,2.91
157,15700US0600157792,Alameda ,Pleasanton,1/1/2017,"76,421","75,857",564,"27,176","17,114","2,680","1,566","5,436",380,"26,024",4.2%,2.92
157,15700US0600157792,Alameda ,Pleasanton,1/1/2018,"78,244","77,680",564,"28,054","17,149","2,742","1,574","6,209",380,"26,803",4.5%,2.90
157,15700US0600157792,Alameda ,Pleasanton,1/1/2019,"78,840","78,276",564,"28,404","17,179","2,742","1,592","6,511",380,"27,103",4.6%,2.89
157,15700US0600157792,Alameda ,Pleasanton,1/1/2020,"78,654","78,090",564,"28,508","17,253","2,752","1,598","6,525",380,"27,202",4.6%,2.87
157,15700US0600157792,Alameda ,Pleasanton,1/1/2021,"78,371","77,807",564,"28,602","17,295","2,752","1,619","6,556",380,"27,292",4.6%,2.85
157,15700US0600168084,Alameda,San Leandro,4/1/2010,"84,950","84,300",650,"32,419","19,459","1,948","1,893","8,229",890,"30,717",5.3%,2.74
157,15700US0600168084,Alameda ,San Leandro,1/1/2011,"85,783","85,133",650,"32,481","19,459","1,959","1,893","8,280",890,"30,768",5.3%,2.77
157,15700US0600168084,Alameda ,San Leandro,1/1/2012,"86,634","85,984",650,"32,485","19,463","1,959","1,893","8,280",890,"30,741",5.4%,2.80
157,15700US0600168084,Alameda ,San Leandro,1/1/2013,"86,980","86,330",650,"32,495","19,463","1,967","1,895","8,280",890,"30,627",5.7%,2.82
157,15700US0600168084,Alameda ,San Leandro,1/1/2014,"87,632","86,982",650,"32,503","19,463","1,975","1,895","8,280",890,"30,606",5.8%,2.84
157,15700US0600168084,Alameda ,San Leandro,1/1/2015,"88,537","87,887",650,"32,509","19,463","1,981","1,895","8,280",890,"30,603",5.9%,2.87
157,15700US0600168084,Alameda ,San Leandro,1/1/2016,"88,789","88,139",650,"32,510","19,463","1,982","1,895","8,280",890,"30,530",6.1%,2.89
157,15700US0600168084,Alameda ,San Leandro,1/1/2017,"88,877","88,227",650,"32,510","19,463","1,982","1,895","8,280",890,"30,506",6.2%,2.89
157,15700US0600168084,Alameda ,San Leandro,1/1/2018,"88,389","87,739",650,"32,516","19,468","1,983","1,895","8,280",890,"30,513",6.2%,2.88
157,15700US0600168084,Alameda ,San Leandro,1/1/2019,"88,328","87,678",650,"32,606","19,468","1,988","1,895","8,365",890,"30,599",6.2%,2.87
157,15700US0600168084,Alameda ,San Leandro,1/1/2020,"87,840","87,190",650,"32,621","19,469","1,988","1,909","8,365",890,"30,613",6.2%,2.85
157,15700US0600168084,Alameda ,San Leandro,1/1/2021,"87,289","86,639",650,"32,640","19,472","1,991","1,922","8,365",890,"30,631",6.2%,2.83
157,15700US0600181204,Alameda,Union City,4/1/2010,"69,516","68,998",518,"21,258","13,642","2,839",784,"3,000",993,"20,433",3.9%,3.38
157,15700US0600181204,Alameda ,Union City,1/1/2011,"70,087","69,569",518,"21,265","13,643","2,845",784,"3,000",993,"20,434",3.9%,3.41
157,15700US0600181204,Alameda ,Union City,1/1/2012,"71,117","70,599",518,"21,370","13,644","2,845",784,"3,100",997,"20,513",4.0%,3.44
157,15700US0600181204,Alameda ,Union City,1/1/2013,"71,563","71,045",518,"21,431","13,646","2,845",784,"3,157",999,"20,483",4.4%,3.47
157,15700US0600181204,Alameda ,Union City,1/1/2014,"72,078","71,560",518,"21,431","13,646","2,845",784,"3,157",999,"20,463",4.5%,3.50
157,15700US0600181204,Alameda ,Union City,1/1/2015,"72,822","72,304",518,"21,435","13,646","2,845",784,"3,157","1,003","20,461",4.5%,3.53
157,15700US0600181204,Alameda ,Union City,1/1/2016,"73,114","72,596",518,"21,464","13,660","2,845",786,"3,157","1,016","20,436",4.8%,3.55
157,15700US0600181204,Alameda ,Union City,1/1/2017,"73,301","72,783",518,"21,499","13,694","2,846",786,"3,157","1,016","20,452",4.9%,3.56
157,15700US0600181204,Alameda ,Union City,1/1/2018,"72,889","72,371",518,"21,501","13,695","2,847",786,"3,157","1,016","20,454",4.9%,3.54
157,15700US0600181204,Alameda ,Union City,1/1/2019,"73,375","72,857",518,"21,745","13,696","2,847",786,"3,400","1,016","20,663",5.0%,3.53
157,15700US0600181204,Alameda ,Union City,1/1/2020,"73,248","72,730",518,"21,839","13,711","2,847",804,"3,461","1,016","20,751",5.0%,3.51
157,15700US0600181204,Alameda ,Union City,1/1/2021,"72,779","72,261",518,"21,849","13,713","2,847",812,"3,461","1,016","20,761",5.0%,3.48
157,15700US0600199990,Alameda,Balance of Alameda County,4/1/2010,"141,266","138,896","2,370","51,022","34,474","4,126","3,116","8,341",965,"48,516",4.9%,2.86
157,15700US0600199990,Alameda ,Balance of Alameda County,1/1/2011,"142,411","140,043","2,368","51,025","34,470","4,126","3,118","8,346",965,"48,519",4.9%,2.89
